uid,is_strike
122428,0.07314108500280168
291855,0.9799219500923468
225539,0.9855924582002872
1410,0.000939186175792608
256048,0.0009892948981742831
192282,0.0005410886168993383
157268,0.001295974292094477
56958,0.0005307857672890994
211402,0.07018000257352289
84564,0.0005332898132569851
115575,0.0008299515856813885
13562,0.0005308366337611835
174089,0.0008241052966145924
67863,0.9853764940599737
284661,0.00206832892483743
132379,0.973709125128139
270116,0.7928178360540129
261810,0.9684673216036049
187570,0.9846223472350212
72856,0.9834112381722336
67639,0.0005443432595841704
57095,0.9749938116202899
127490,0.6424690446378609
164259,0.8857103192992861
169748,0.05261974148819812
226396,0.0007428061846731477
185449,0.0006383665316923178
306263,0.0006474003693457457
274817,0.000530776240648163
33552,0.0005377174159940844
86614,0.5871478533210032
109749,0.9797652784085047
201283,0.046908969867706755
125498,0.17240640001461185
215167,0.0007849936701514036
152367,0.0006455745716534096
281361,0.0013660820368027306
294234,0.9221720504719642
265461,0.0005382187743170283
116581,0.9840317187132376
36960,0.012690667834915762
300201,0.0006962045610696266
221969,0.9677528195273585
268683,0.038650896484177626
159307,0.000765665493140757
239408,0.39945775545888473
230756,0.050413073290405244
200998,0.0005755570923166299
278690,0.0005307705137358168
270207,0.9846600222274565
310856,0.0005396280755025185
114588,0.0008345070843679725
240727,0.0008363402355013581
151403,0.001117038145420824
86667,0.0005955811353182513
170960,0.0005308307386764873
196338,0.7732372809750175
96441,0.9015724280602814
262389,0.0005471927787148078
70608,0.0005307657337980442
90927,0.11936897581986111
81376,0.000735811787610047
53037,0.0005307674900788894
296254,0.0005801489474938479
245502,0.9841359284835164
69869,0.9827481249596991
205462,0.0005502822571595724
234487,0.003010184587235432
252516,0.9644543168767699
75568,0.9851970933863329
98703,0.0005471233793516474
204207,0.0012016095256994635
294807,0.9855530793228057
121682,0.26691862048654175
193167,0.9847443162254998
45291,0.9854526797027598
157694,0.04589216760745953
142415,0.0005372278313278717
53508,0.0005318765081655715
55406,0.035438004655452784
113071,0.027352263498440398
236904,0.9302600868215857
98299,0.05510315427145587
211497,0.9843703287983746
263597,0.0010797330245341406
92557,0.9849947366260395
41206,0.6463685452344325
167909,0.5376239238524904
303543,0.0007526421679285082
192791,0.0018849057812239233
100543,0.010755674253980113
105730,0.9854952243692289
179129,0.0036563708108495394
257569,0.000988182116202916
83880,0.0010703309562512281
82793,0.0005537114605938936
197873,0.9829328751889428
294222,0.000635072523368793
41989,0.03495507260191255
126122,0.0005957737795540013
138379,0.863717821266879
195373,0.2102683602179927
133441,0.0005988254952081117
297802,0.9826125597323818
123673,0.2927708845591358
197678,0.3750246560274234
110995,0.0022687723179072336
137355,0.001866294592978395
111201,0.0005561735621046745
310684,0.03352265281246082
86057,0.0006021229703804156
136880,0.7716302100069136
201903,0.9852754034079922
61180,0.9853078495681801
91743,0.0005860820692032752
280992,0.3362830651560788
147929,0.0022319518599220934
217871,0.0006595504558557974
297632,0.0005308113798039809
227554,0.977134083121942
266392,0.22622256669798577
7538,0.0005460587549988969
186041,0.004902194656545146
19287,0.9836235724413938
815,0.0005308053945941681
93058,0.0005611969778290922
198540,0.9853885907108516
91774,0.9550286602365483
228382,0.9846525099098009
112961,0.0005371064730197421
240248,0.9704893322777196
177400,0.0006285378970286296
8407,0.013949804198096579
257751,0.041261077544408886
15376,0.0005346777296300153
65032,0.0005384820826600872
119772,0.6774961011657001
271713,0.0006508132496811856
228721,0.000538382653949176
